"Observation station","Year","Month","Day","Time [Local time]","Cloud cover [1/8]"
"Pello parish","2000","5","16","00:00","-"
"Pello parish","2000","5","17","00:00","-"
"Pello parish","2000","5","18","00:00","-"
"Pello parish","2000","5","19","00:00","-"
"Pello parish","2000","5","20","00:00","-"
"Pello parish","2000","5","21","00:00","-"
"Pello parish","2000","5","22","00:00","-"
"Pello parish","2000","5","23","00:00","-"
"Pello parish","2000","5","24","00:00","-"
"Pello parish","2000","5","25","00:00","-"
"Pello parish","2000","5","26","00:00","-"
"Pello parish","2000","5","27","00:00","-"
"Pello parish","2000","5","28","00:00","-"
"Pello parish","2000","5","29","00:00","-"
"Pello parish","2000","5","30","00:00","-"
"Pello parish","2000","5","31","00:00","-"
"Pello parish","2000","6","1","00:00","-"
"Pello parish","2000","6","2","00:00","-"
"Pello parish","2000","6","3","00:00","-"
"Pello parish","2000","6","4","00:00","-"
"Pello parish","2000","6","5","00:00","-"
"Pello parish","2000","6","6","00:00","-"
"Pello parish","2000","6","7","00:00","-"
"Pello parish","2000","6","8","00:00","-"
"Pello parish","2000","6","9","00:00","-"
"Pello parish","2000","6","10","00:00","-"
"Pello parish","2000","6","11","00:00","-"
"Pello parish","2000","6","12","00:00","-"
"Pello parish","2000","6","13","00:00","-"
"Pello parish","2000","6","14","00:00","-"
"Pello parish","2000","6","15","00:00","-"
"Pello parish","2000","6","16","00:00","-"
"Pello parish","2000","6","17","00:00","-"
"Pello parish","2000","6","18","00:00","-"
"Pello parish","2000","6","19","00:00","-"
"Pello parish","2000","6","20","00:00","-"
"Pello parish","2000","6","21","00:00","-"
"Pello parish","2000","6","22","00:00","-"
"Pello parish","2000","6","23","00:00","-"
"Pello parish","2000","6","24","00:00","-"
"Pello parish","2000","6","25","00:00","-"
"Pello parish","2000","6","26","00:00","-"
"Pello parish","2000","6","27","00:00","-"
"Pello parish","2000","6","28","00:00","-"
"Pello parish","2000","6","29","00:00","-"
"Pello parish","2000","6","30","00:00","-"
"Pello parish","2000","7","1","00:00","-"
"Pello parish","2000","7","2","00:00","-"
"Pello parish","2000","7","3","00:00","-"
"Pello parish","2000","7","4","00:00","-"
"Pello parish","2000","7","5","00:00","-"
"Pello parish","2000","7","6","00:00","-"
"Pello parish","2000","7","7","00:00","-"
"Pello parish","2000","7","8","00:00","-"
"Pello parish","2000","7","9","00:00","-"
"Pello parish","2000","7","10","00:00","-"
"Pello parish","2000","7","11","00:00","-"
"Pello parish","2000","7","12","00:00","-"
"Pello parish","2000","7","13","00:00","-"
"Pello parish","2000","7","14","00:00","-"
"Pello parish","2000","7","15","00:00","-"
"Pello parish","2000","7","16","00:00","-"
"Pello parish","2000","7","17","00:00","-"
"Pello parish","2000","7","18","00:00","-"
"Pello parish","2000","7","19","00:00","-"
"Pello parish","2000","7","20","00:00","-"
"Pello parish","2000","7","21","00:00","-"
"Pello parish","2000","7","22","00:00","-"
"Pello parish","2000","7","23","00:00","-"
"Pello parish","2000","7","24","00:00","-"
"Pello parish","2000","7","25","00:00","-"
"Pello parish","2000","7","26","00:00","-"
"Pello parish","2000","7","27","00:00","-"
"Pello parish","2000","7","28","00:00","-"
"Pello parish","2000","7","29","00:00","-"
"Pello parish","2000","7","30","00:00","-"
"Pello parish","2000","7","31","00:00","-"
"Pello parish","2000","8","1","00:00","-"
"Pello parish","2000","8","2","00:00","-"
"Pello parish","2000","8","3","00:00","-"
"Pello parish","2000","8","4","00:00","-"
"Pello parish","2000","8","5","00:00","-"
"Pello parish","2000","8","6","00:00","-"
"Pello parish","2000","8","7","00:00","-"
"Pello parish","2000","8","8","00:00","-"
"Pello parish","2000","8","9","00:00","-"
"Pello parish","2000","8","10","00:00","-"
"Pello parish","2000","8","11","00:00","-"
"Pello parish","2000","8","12","00:00","-"
"Pello parish","2000","8","13","00:00","-"
"Pello parish","2000","8","14","00:00","-"
"Pello parish","2000","8","15","00:00","-"
"Pello parish","2000","8","16","00:00","-"
"Pello parish","2000","8","17","00:00","-"
"Pello parish","2000","8","18","00:00","-"
"Pello parish","2000","8","19","00:00","-"
"Pello parish","2000","8","20","00:00","-"
"Pello parish","2000","8","21","00:00","-"
"Pello parish","2000","8","22","00:00","-"
"Pello parish","2000","8","23","00:00","-"
"Pello parish","2000","8","24","00:00","-"
"Pello parish","2000","8","25","00:00","-"
"Pello parish","2000","8","26","00:00","-"
"Pello parish","2000","8","27","00:00","-"
"Pello parish","2000","8","28","00:00","-"
"Pello parish","2000","8","29","00:00","-"
"Pello parish","2000","8","30","00:00","-"
"Pello parish","2000","8","31","00:00","-"
"Pello parish","2000","9","1","00:00","-"
"Pello parish","2000","9","2","00:00","Mostly clear (3/8)"
"Pello parish","2000","9","3","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","9","4","00:00","Clear (0/8)"
"Pello parish","2000","9","5","00:00","Clear (0/8)"
"Pello parish","2000","9","6","00:00","Clear (0/8)"
"Pello parish","2000","9","7","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","9","8","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","9","9","00:00","Cloudy (8/8)"
"Pello parish","2000","9","10","00:00","Cloudy (8/8)"
"Pello parish","2000","9","11","00:00","Clear (0/8)"
"Pello parish","2000","9","12","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","9","13","00:00","Cloudy (8/8)"
"Pello parish","2000","9","14","00:00","-"
"Pello parish","2000","9","15","00:00","Clear (0/8)"
"Pello parish","2000","9","16","00:00","Clear (0/8)"
"Pello parish","2000","9","17","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","9","18","00:00","-"
"Pello parish","2000","9","19","00:00","Clear (0/8)"
"Pello parish","2000","9","20","00:00","Clear (0/8)"
"Pello parish","2000","9","21","00:00","-"
"Pello parish","2000","9","22","00:00","-"
"Pello parish","2000","9","23","00:00","-"
"Pello parish","2000","9","24","00:00","-"
"Pello parish","2000","9","25","00:00","-"
"Pello parish","2000","9","26","00:00","-"
"Pello parish","2000","9","27","00:00","-"
"Pello parish","2000","9","28","00:00","-"
"Pello parish","2000","9","29","00:00","-"
"Pello parish","2000","9","30","00:00","-"
"Pello parish","2000","10","1","00:00","-"
"Pello parish","2000","10","2","00:00","-"
"Pello parish","2000","10","3","00:00","-"
"Pello parish","2000","10","4","00:00","-"
"Pello parish","2000","10","5","00:00","-"
"Pello parish","2000","10","6","00:00","-"
"Pello parish","2000","10","7","00:00","-"
"Pello parish","2000","10","8","00:00","-"
"Pello parish","2000","10","9","00:00","-"
"Pello parish","2000","10","10","00:00","-"
"Pello parish","2000","10","11","00:00","-"
"Pello parish","2000","10","12","00:00","-"
"Pello parish","2000","10","13","00:00","-"
"Pello parish","2000","10","14","00:00","-"
"Pello parish","2000","10","15","00:00","-"
"Pello parish","2000","10","16","00:00","-"
"Pello parish","2000","10","17","00:00","-"
"Pello parish","2000","10","18","00:00","-"
"Pello parish","2000","10","19","00:00","-"
"Pello parish","2000","10","20","00:00","-"
"Pello parish","2000","10","21","00:00","-"
"Pello parish","2000","10","22","00:00","-"
"Pello parish","2000","10","23","00:00","-"
"Pello parish","2000","10","24","00:00","-"
"Pello parish","2000","10","25","00:00","-"
"Pello parish","2000","10","26","00:00","-"
"Pello parish","2000","10","27","00:00","-"
"Pello parish","2000","10","28","00:00","-"
"Pello parish","2000","10","29","00:00","-"
"Pello parish","2000","10","30","00:00","-"
"Pello parish","2000","10","31","00:00","-"
"Pello parish","2000","11","1","00:00","-"
"Pello parish","2000","11","2","00:00","-"
"Pello parish","2000","11","3","00:00","-"
"Pello parish","2000","11","4","00:00","-"
"Pello parish","2000","11","5","00:00","-"
"Pello parish","2000","11","6","00:00","-"
"Pello parish","2000","11","7","00:00","-"
"Pello parish","2000","11","8","00:00","-"
"Pello parish","2000","11","9","00:00","-"
"Pello parish","2000","11","10","00:00","-"
"Pello parish","2000","11","11","00:00","-"
"Pello parish","2000","11","12","00:00","-"
"Pello parish","2000","11","13","00:00","-"
"Pello parish","2000","11","14","00:00","-"
"Pello parish","2000","11","15","00:00","-"
"Pello parish","2000","11","16","00:00","-"
"Pello parish","2000","11","17","00:00","-"
"Pello parish","2000","11","18","00:00","-"
"Pello parish","2000","11","19","00:00","-"
"Pello parish","2000","11","20","00:00","-"
"Pello parish","2000","11","21","00:00","-"
"Pello parish","2000","11","22","00:00","-"
"Pello parish","2000","11","23","00:00","-"
"Pello parish","2000","11","24","00:00","-"
"Pello parish","2000","11","25","00:00","-"
"Pello parish","2000","11","26","00:00","-"
"Pello parish","2000","11","27","00:00","-"
"Pello parish","2000","11","28","00:00","-"
"Pello parish","2000","11","29","00:00","-"
"Pello parish","2000","11","30","00:00","Cloudy (8/8)"
"Pello parish","2000","12","1","00:00","Cloudy (8/8)"
"Pello parish","2000","12","2","00:00","Cloudy (8/8)"
"Pello parish","2000","12","3","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","4","00:00","Cloudy (8/8)"
"Pello parish","2000","12","5","00:00","Cloudy (8/8)"
"Pello parish","2000","12","6","00:00","Cloudy (8/8)"
"Pello parish","2000","12","7","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","8","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","9","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","10","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","11","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","12","00:00","Cloudy (8/8)"
"Pello parish","2000","12","13","00:00","-"
"Pello parish","2000","12","14","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","15","00:00","Cloudy (8/8)"
"Pello parish","2000","12","16","00:00","Cloudiness cannot be determined (9/8)"
"Pello parish","2000","12","17","00:00","Cloudy (8/8)"
"Pello parish","2000","12","18","00:00","Clear (0/8)"
"Pello parish","2000","12","19","00:00","Clear (0/8)"
"Pello parish","2000","12","20","00:00","-"
"Pello parish","2000","12","21","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","22","00:00","Mostly clear (3/8)"
"Pello parish","2000","12","23","00:00","Partly cloudy (5/8)"
"Pello parish","2000","12","24","00:00","Cloudy (8/8)"
"Pello parish","2000","12","25","00:00","Cloudy (8/8)"
"Pello parish","2000","12","26","00:00","Cloudy (8/8)"
"Pello parish","2000","12","27","00:00","Cloudy (8/8)"
"Pello parish","2000","12","28","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","29","00:00","Mostly cloudy (7/8)"
"Pello parish","2000","12","30","00:00","Cloudy (8/8)"
"Pello parish","2000","12","31","00:00","Clear (0/8)"
"Pello parish","2001","1","1","00:00","Cloudy (8/8)"
"Pello parish","2001","1","2","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","1","3","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","1","4","00:00","Cloudy (8/8)"
"Pello parish","2001","1","5","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","1","6","00:00","Cloudy (8/8)"
"Pello parish","2001","1","7","00:00","Cloudy (8/8)"
"Pello parish","2001","1","8","00:00","Cloudy (8/8)"
"Pello parish","2001","1","9","00:00","Cloudy (8/8)"
"Pello parish","2001","1","10","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","1","11","00:00","Cloudy (8/8)"
"Pello parish","2001","1","12","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","1","13","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","1","14","00:00","Clear (0/8)"
"Pello parish","2001","1","15","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","1","16","00:00","Clear (0/8)"
"Pello parish","2001","1","17","00:00","Mostly clear (3/8)"
"Pello parish","2001","1","18","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","1","19","00:00","Clear (0/8)"
"Pello parish","2001","1","20","00:00","Clear (0/8)"
"Pello parish","2001","1","21","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","1","22","00:00","Clear (0/8)"
"Pello parish","2001","1","23","00:00","Cloudy (8/8)"
"Pello parish","2001","1","24","00:00","Cloudy (8/8)"
"Pello parish","2001","1","25","00:00","Cloudy (8/8)"
"Pello parish","2001","1","26","00:00","-"
"Pello parish","2001","1","27","00:00","Cloudy (8/8)"
"Pello parish","2001","1","28","00:00","Cloudy (8/8)"
"Pello parish","2001","1","29","00:00","Cloudy (8/8)"
"Pello parish","2001","1","30","00:00","Cloudy (8/8)"
"Pello parish","2001","1","31","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","2","1","00:00","Clear (0/8)"
"Pello parish","2001","2","2","00:00","Clear (1/8)"
"Pello parish","2001","2","3","00:00","Clear (0/8)"
"Pello parish","2001","2","4","00:00","Clear (0/8)"
"Pello parish","2001","2","5","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","2","6","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","2","7","00:00","Cloudiness cannot be determined (9/8)"
"Pello parish","2001","2","8","00:00","Cloudy (8/8)"
"Pello parish","2001","2","9","00:00","Clear (0/8)"
"Pello parish","2001","2","10","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","2","11","00:00","Partly cloudy (5/8)"
"Pello parish","2001","2","12","00:00","Cloudy (8/8)"
"Pello parish","2001","2","13","00:00","Cloudy (8/8)"
"Pello parish","2001","2","14","00:00","Cloudy (8/8)"
"Pello parish","2001","2","15","00:00","Clear (0/8)"
"Pello parish","2001","2","16","00:00","Clear (1/8)"
"Pello parish","2001","2","17","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","2","18","00:00","Cloudy (8/8)"
"Pello parish","2001","2","19","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","2","20","00:00","Cloudy (8/8)"
"Pello parish","2001","2","21","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","2","22","00:00","Clear (0/8)"
"Pello parish","2001","2","23","00:00","Clear (0/8)"
"Pello parish","2001","2","24","00:00","Clear (0/8)"
"Pello parish","2001","2","25","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","2","26","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","2","27","00:00","Cloudy (8/8)"
"Pello parish","2001","2","28","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","1","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","2","00:00","Clear (1/8)"
"Pello parish","2001","3","3","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","4","00:00","Cloudy (8/8)"
"Pello parish","2001","3","5","00:00","Cloudy (8/8)"
"Pello parish","2001","3","6","00:00","Clear (0/8)"
"Pello parish","2001","3","7","00:00","Clear (0/8)"
"Pello parish","2001","3","8","00:00","Clear (0/8)"
"Pello parish","2001","3","9","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","10","00:00","Cloudy (8/8)"
"Pello parish","2001","3","11","00:00","Cloudy (8/8)"
"Pello parish","2001","3","12","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","13","00:00","Cloudy (8/8)"
"Pello parish","2001","3","14","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","15","00:00","Cloudy (8/8)"
"Pello parish","2001","3","16","00:00","Clear (1/8)"
"Pello parish","2001","3","17","00:00","Clear (0/8)"
"Pello parish","2001","3","18","00:00","Clear (0/8)"
"Pello parish","2001","3","19","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","20","00:00","Clear (0/8)"
"Pello parish","2001","3","21","00:00","Clear (1/8)"
"Pello parish","2001","3","22","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","23","00:00","Clear (0/8)"
"Pello parish","2001","3","24","00:00","Clear (0/8)"
"Pello parish","2001","3","25","00:00","Clear (0/8)"
"Pello parish","2001","3","26","00:00","Clear (1/8)"
"Pello parish","2001","3","27","00:00","Clear (0/8)"
"Pello parish","2001","3","28","00:00","Clear (0/8)"
"Pello parish","2001","3","29","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","30","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","3","31","00:00","Cloudiness cannot be determined (9/8)"
"Pello parish","2001","4","1","00:00","Clear (0/8)"
"Pello parish","2001","4","2","00:00","Cloudy (8/8)"
"Pello parish","2001","4","3","00:00","Cloudy (8/8)"
"Pello parish","2001","4","4","00:00","Cloudiness cannot be determined (9/8)"
"Pello parish","2001","4","5","00:00","Cloudy (8/8)"
"Pello parish","2001","4","6","00:00","Cloudy (8/8)"
"Pello parish","2001","4","7","00:00","Partly cloudy (5/8)"
"Pello parish","2001","4","8","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","4","9","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","4","10","00:00","Cloudy (8/8)"
"Pello parish","2001","4","11","00:00","Partly cloudy (5/8)"
"Pello parish","2001","4","12","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","4","13","00:00","Clear (0/8)"
"Pello parish","2001","4","14","00:00","Clear (0/8)"
"Pello parish","2001","4","15","00:00","Clear (0/8)"
"Pello parish","2001","4","16","00:00","Cloudiness cannot be determined (9/8)"
"Pello parish","2001","4","17","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","4","18","00:00","Clear (0/8)"
"Pello parish","2001","4","19","00:00","Cloudy (8/8)"
"Pello parish","2001","4","20","00:00","Clear (0/8)"
"Pello parish","2001","4","21","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","4","22","00:00","Partly cloudy (5/8)"
"Pello parish","2001","4","23","00:00","Clear (0/8)"
"Pello parish","2001","4","24","00:00","Clear (0/8)"
"Pello parish","2001","4","25","00:00","Cloudy (8/8)"
"Pello parish","2001","4","26","00:00","Cloudiness cannot be determined (9/8)"
"Pello parish","2001","4","27","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","4","28","00:00","Cloudy (8/8)"
"Pello parish","2001","4","29","00:00","Cloudy (8/8)"
"Pello parish","2001","4","30","00:00","Clear (0/8)"
"Pello parish","2001","5","1","00:00","Cloudiness cannot be determined (9/8)"
"Pello parish","2001","5","2","00:00","Partly cloudy (5/8)"
"Pello parish","2001","5","3","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","5","4","00:00","Clear (0/8)"
"Pello parish","2001","5","5","00:00","Partly cloudy (5/8)"
"Pello parish","2001","5","6","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","5","7","00:00","Clear (1/8)"
"Pello parish","2001","5","8","00:00","Clear (0/8)"
"Pello parish","2001","5","9","00:00","Mostly clear (3/8)"
"Pello parish","2001","5","10","00:00","Mostly clear (3/8)"
"Pello parish","2001","5","11","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","5","12","00:00","Cloudy (8/8)"
"Pello parish","2001","5","13","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","5","14","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","5","15","00:00","Mostly clear (3/8)"
"Pello parish","2001","5","16","00:00","Clear (0/8)"
"Pello parish","2001","5","17","00:00","Mostly clear (3/8)"
"Pello parish","2001","5","18","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","5","19","00:00","Cloudy (8/8)"
"Pello parish","2001","5","20","00:00","Cloudy (8/8)"
"Pello parish","2001","5","21","00:00","Cloudy (8/8)"
"Pello parish","2001","5","22","00:00","Clear (0/8)"
"Pello parish","2001","5","23","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","5","24","00:00","Cloudy (8/8)"
"Pello parish","2001","5","25","00:00","Cloudy (8/8)"
"Pello parish","2001","5","26","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","5","27","00:00","Cloudy (8/8)"
"Pello parish","2001","5","28","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","5","29","00:00","Cloudy (8/8)"
"Pello parish","2001","5","30","00:00","Clear (0/8)"
"Pello parish","2001","5","31","00:00","Partly cloudy (5/8)"
"Pello parish","2001","6","1","00:00","Clear (0/8)"
"Pello parish","2001","6","2","00:00","Clear (0/8)"
"Pello parish","2001","6","3","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","4","00:00","Cloudy (8/8)"
"Pello parish","2001","6","5","00:00","Cloudy (8/8)"
"Pello parish","2001","6","6","00:00","Mostly clear (3/8)"
"Pello parish","2001","6","7","00:00","Partly cloudy (5/8)"
"Pello parish","2001","6","8","00:00","Clear (0/8)"
"Pello parish","2001","6","9","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","10","00:00","Cloudy (8/8)"
"Pello parish","2001","6","11","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","12","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","13","00:00","Partly cloudy (5/8)"
"Pello parish","2001","6","14","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","15","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","16","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","17","00:00","Cloudy (8/8)"
"Pello parish","2001","6","18","00:00","Clear (1/8)"
"Pello parish","2001","6","19","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","20","00:00","Clear (1/8)"
"Pello parish","2001","6","21","00:00","Partly cloudy (5/8)"
"Pello parish","2001","6","22","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","23","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","24","00:00","Clear (1/8)"
"Pello parish","2001","6","25","00:00","Clear (0/8)"
"Pello parish","2001","6","26","00:00","Clear (0/8)"
"Pello parish","2001","6","27","00:00","Cloudy (8/8)"
"Pello parish","2001","6","28","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","6","29","00:00","Partly cloudy (5/8)"
"Pello parish","2001","6","30","00:00","Mostly clear (3/8)"
"Pello parish","2001","7","1","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","7","2","00:00","Mostly cloudy (7/8)"
"Pello parish","2001","7","3","00:00","Clear (0/8)"
"Pello parish","2001","7","4","00:00","Clear (1/8)"
"Pello parish","2001","7","5","00:00","Mostly clear (3/8)"
"Pello parish","2001","7","6","00:00","Clear (0/8)"
"Pello parish","2001","7","7","00:00","Clear (0/8)"
"Pello parish","2001","7","8","00:00","Mostly cloudy (7/8)"
